SampleID,aerobic_status_corrected,common,Proportion,Counts
Agigus.Beetle.0.Feces.1.1.Beetle.X,aerobe,Rhinoceros Beetle,0.015855039637599093,238
Agigus.Beetle.0.Feces.1.1.Beetle.X,facultative anaerobe,Rhinoceros Beetle,0.022849910065951634,343
Agigus.Beetle.0.Feces.1.1.Beetle.X,microaerobe or anaerobe,Rhinoceros Beetle,5.329425088268603e-4,8
Agigus.Beetle.0.Feces.1.1.Beetle.X,no taxonomic assignment,Rhinoceros Beetle,0.434881087202718,6528
Agigus.Beetle.0.Feces.1.1.Beetle.X,obligate anaerobe,Rhinoceros Beetle,0.4890413696622477,7341
Agigus.Beetle.0.Feces.1.1.Beetle.X,Streptophyta,Rhinoceros Beetle,9.99267204050363e-4,15
Agigus.Beetle.0.Feces.1.1.Beetle.X,NA,Rhinoceros Beetle,0.03584038371860636,538
Alpaca.0.Feces.1.1,aerobe,Alpaca,0.0010292010574536356,102
Alpaca.0.Feces.1.1,facultative anaerobe,Alpaca,0.0061550259318305656,610
Alpaca.0.Feces.1.1,microaerobe or anaerobe,Alpaca,0.002199665005146005,218
Alpaca.0.Feces.1.1,no taxonomic assignment,Alpaca,0.13283756785663836,13165
Alpaca.0.Feces.1.1,obligate anaerobe,Alpaca,0.8047343248642866,79754
Alpaca.0.Feces.1.1,Streptophyta,Alpaca,1.0090206445623877e-4,10
Alpaca.0.Feces.1.1,NA,Alpaca,0.052943313220188484,5247
AmericanGuineaPig.0.Feces.1.1,aerobe,Guinea Pig,3.6836935166994106e-4,9
AmericanGuineaPig.0.Feces.1.1,facultative anaerobe,Guinea Pig,0.001514407334643091,37
AmericanGuineaPig.0.Feces.1.1,intracellular,Guinea Pig,4.0929927963326786e-5,1
AmericanGuineaPig.0.Feces.1.1,microaerobe or anaerobe,Guinea Pig,0.001719056974459725,42
AmericanGuineaPig.0.Feces.1.1,no taxonomic assignment,Guinea Pig,0.2687459070072037,6566
AmericanGuineaPig.0.Feces.1.1,obligate anaerobe,Guinea Pig,0.6489030779305829,15854
AmericanGuineaPig.0.Feces.1.1,Streptophyta,Guinea Pig,1.2278978388998034e-4,3
AmericanGuineaPig.0.Feces.1.1,NA,Guinea Pig,0.07858546168958742,1920
BeardedDragon.0.Feces.1.1,aerobe,Bearded Dragon,0.0011567188842620134,35
BeardedDragon.0.Feces.1.1,facultative anaerobe,Bearded Dragon,0.0010575715513252693,32
BeardedDragon.0.Feces.1.1,no taxonomic assignment,Bearded Dragon,0.11011963778174368,3332
